Categoria,Marca,Modelo,Versão,Motor,Tipo de Propulsão (Combustão / Híbrido / Plug-in / Elétrico),Transmissão e Velocidades (Manual=M / Automática=A / Dupla Embreagem=DCT / Automatizada=MTA / Contínua=CVT),Ar Condicionado (S=Sim / N=Não),Direção Assistida (H=Hidráulica / M=Mecânica / E=Elétrica / E-H=Eletro-hidráulica),Combustível (E=Elétrico / G=Gasolina / F=Flex / D=Diesel),Emissões Poluentes - NMOG+NOx (mg/km),Emissões Poluentes - CO (mg/km),Emissões Poluentes - CHO Aldeídos (mg/km),Emissões Poluentes - Redução Relativa ao Limite (A=≥40% abaixo PROCONVE L7 / B=<40%),Emissões GEE - CO2 Fóssil Etanol (g/km),Emissões GEE - CO2 Fóssil Gasolina ou Diesel (g/km),Emissões GEE - CO2e Fóssil VEHP Plug-in (g/km),Consumo Etanol - Cidade (km/l),Consumo Etanol - Estrada (km/l),Consumo Gasolina ou Diesel - Cidade (km/l),Consumo Gasolina ou Diesel - Estrada (km/l),Consumo Elétrico - Cidade (km/le),Consumo Elétrico - Estrada (km/le),Consumo Energético (MJ/km),Autonomia Modo Elétrico (km),Classificação PBE - Relativa na Categoria (A=Mais Eficiente / B / C / D / E=Menos Eficiente),Classificação PBE - Absoluta Geral (A=Mais Eficiente / B / C / D / E=Menos Eficiente),Selo CONPET de Eficiência Energética (SIM / NÃO),Transmissão - Tipo,Transmissão - Nº Velocidades,Combustível - Descrição,Consumo Gasolina ou Diesel - Combinado (km/l),Consumo Etanol - Combinado (km/l),Consumo Elétrico - Combinado (km/le),Faixa CO2 Gasolina/Diesel (g/km),Zero Emissão (Elétrico Puro),Eletrificado (Elétrico/Híbrido/Plug-in)
Médio,Hyundai,HB20S,Comfort,1.0-12V,Combustão,M-5,S,E,F,22.0,163.0,2.0,A,0.0,95.0,,9.4,10.4,13.2,15.0,,,1.52,,A,B,SIM,M,5.0,Flex,14.01,9.85,,51-100,False,False
Médio,Hyundai,HB20S,Comfort,1.0-12V T,Combustão,M-6,S,E,F,22.0,110.0,2.0,A,0.0,96.0,,9.2,10.7,13.1,14.8,,,1.53,,A,C,NÃO,M,6.0,Flex,13.86,9.88,,51-100,False,False
Médio,Hyundai,HB20S,Comfort,1.0-12V T,Combustão,A-6,S,E,F,31.0,141.0,4.0,A,0.0,106.0,,8.3,9.9,11.7,13.9,,,1.7,,C,C,NÃO,A,6.0,Flex,12.69,9.02,,101-150,False,False
Médio,Hyundai,HB20S,Comfort (25MY),1.0-12V T,Combustão,A-6,S,E,F,21.0,69.0,3.0,A,0.0,101.0,,8.5,10.5,12.1,14.7,,,1.62,,B,C,NÃO,A,6.0,Flex,13.27,9.4,,101-150,False,False
Médio,Hyundai,HB20S,Comfort (25MY),1.0-12V,Combustão,M-5,S,E,F,13.0,127.0,1.0,A,0.0,93.0,,9.6,10.8,13.4,15.3,,,1.49,,A,B,SIM,M,5.0,Flex,14.26,10.14,,51-100,False,False
Médio,Hyundai,HB20S,Comfort (25MY),1.0-12V T,Combustão,A-6,S,E,F,31.0,129.0,3.0,A,0.0,93.0,,9.0,11.2,13.0,16.0,,,1.51,,A,B,SIM,A,6.0,Flex,14.35,9.99,,51-100,False,False
Médio,Hyundai,HB20S,Limited,1.0-12V,Combustão,M-5,S,E,F,22.0,163.0,2.0,A,0.0,95.0,,9.4,10.4,13.2,15.0,,,1.52,,A,B,SIM,M,5.0,Flex,14.01,9.85,,51-100,False,False
Médio,Hyundai,HB20S,Limited (25MY),1.0-12V,Combustão,M-5,S,E,F,13.0,127.0,1.0,A,0.0,93.0,,9.6,10.8,13.4,15.3,,,1.49,,A,B,SIM,M,5.0,Flex,14.26,10.14,,51-100,False,False
Médio,Hyundai,HB20S,Platinum,1.0-12V,Combustão,M-5,S,E,F,22.0,163.0,2.0,A,0.0,95.0,,9.4,10.4,13.2,15.0,,,1.52,,A,B,SIM,M,5.0,Flex,14.01,9.85,,51-100,False,False
Médio,Hyundai,HB20S,Platinum,1.0-12V T,Combustão,A-6,S,E,F,31.0,141.0,4.0,A,0.0,106.0,,8.3,9.9,11.7,13.9,,,1.7,,C,C,NÃO,A,6.0,Flex,12.69,9.02,,101-150,False,False
